Tweet,Followees,Followers,No of posts,Retweet count,Favorite count,Positive words,Negative words,No: of Words
"@arshu_it So sad to see her in this way 💔 , it's hurting",2178,2955,18361,0,0,0,2,13
@_trillzo I can ... but only bc I unfortunately have experienced people like this ☹️ I wanna beat they ass now off… https://t.co/ovY3WM0ARr,1853,2355,131765,0,0,1,1,23
"@EMauroCBC Cost of Food, Building Material, Gas among other items have dramatically increased.  Someone is benefiti… https://t.co/HhOLuZEZlr",549,69,4489,0,0,0,0,18
@owen_M12 @Hazzardlol You would only be hurting yourself,576,350,1686,0,1,0,1,8
Since my mouth has been hurting it has affected everything that I do !!!!!,567,482,20601,0,0,0,1,14
my feelings on this are extremely complicated because I am very happy for him AND the shit he did - even if he was… https://t.co/34vnkyRocB,808,950,21945,0,0,1,2,25
@awhbrina tell ur arm to stop hurting then 😑,213,87,2641,0,0,0,1,9
"@Bakshi4ever @NishigandhaDare @ppakhii Where did it start n where did it end???

Real SSRians instead of criticizin… https://t.co/siPDWevrnN",153,728,38466,0,0,0,0,17
"@ZubyMusic It is like that in some cases but goes both ways. Anyone Is capable of being crappy, however most have a… https://t.co/k2hUEtxp2l",88,4,31,0,0,2,1,23
"@HillaryClinton @aijenpoo For over a year, couples and families,homeowners,tax payer have been forced apart by disc… https://t.co/urlAQdLkrk",68,12,786,0,0,0,0,17
Uncle Frank also showed the power of unacknowledged pains. How wounds we don’t heal from eventually end up hurting… https://t.co/HF4u1I7s3g,260,326,4524,0,0,1,2,20
Nobody knows hard working at a personal injury law firm can be for one’s spirit. Hearing people hurting due to othe… https://t.co/sTqlZd9OHy,394,696,43875,0,0,0,3,22
"@SecBlinken For over a year, couples and families,homeowners,tax payer have been forced apart by discriminating tra… https://t.co/BnpjbNtJyo",68,12,786,0,0,0,0,17
"23 years ago, a go-karting accident took the feeling from my left heel, leaving me with a numb scar. Recently, the… https://t.co/nFDll27GRm",411,247,1373,0,1,0,2,22
@Andrew_Rotondi It's almost as if a guy who has pitched 34 innings might have ton of rust and cannot give this team… https://t.co/JX1n7ZAnip,392,137,3269,0,0,0,1,23
"@VP For over a year, couples and families,homeowners,tax payer have been forced apart by discriminating travel rest… https://t.co/YXNTBVImm8",68,12,786,0,0,0,0,18
@arealdishwasher Both police and rioters have to stop hurting innocent people if you want to see any changes,820,264,7008,0,0,0,1,18
@wonderbread1021 @jakUbak2mars @TheodoreCummin9 @smackadelics @NIQHTLYDOLS No? If that was the reason he would have… https://t.co/pcg0cPcxRJ,19,2,79,0,0,0,0,15
it makesm e feel silly knowing they r just cookies and i shouldnt be making them so. deep ig but it makes me happy… https://t.co/ejTrwNBqdc,181,23,620,0,0,0,1,25
"@0_H4l0_0 Yeah if they keep on hurting you, you shouldn't keep your ties with them. And there some monster who prey… https://t.co/eSZly5PyR7",18,22,579,0,1,0,2,22
"Ma dern head been hurting since Monday but idk if it’s related to the vaccine or not.

And this BC ain’t even helping.",1358,1297,152179,0,0,1,1,22
Damn my stomach started hurting again :(,82,72,1320,0,0,0,1,7
"@WhiteHouse For over a year, couples and families,homeowners,tax payer have been forced apart by discriminating tra… https://t.co/yInQ0porsb",68,12,787,0,0,0,0,17
"@richtmaxey @CaptainNedLudd @mrjamesob My head is hurting just remembering about it.
Then for extra fun they threw… https://t.co/aL94FR9LDR",69,141,10013,0,0,1,1,17
@chencheekies stop hurting me &lt;//3,527,655,4260,0,1,0,1,5
"@Unknown68D_ but

where's the closing parenthesis your math teacher is hurting my ocd",231,3731,20310,0,0,0,1,12
Sharing this bc I want to inspire those who are younger than me to pursue what makes u happy. Don't let society dic… https://t.co/PodiGukuUR,613,603,3434,1,1,2,0,24
"@pinkmagiclala Cats have extremely flexible joints that are designed for jumping, climbing.

gently feel around the… https://t.co/1B2frnhql4",69,32,10601,0,0,1,0,16
@Pixie_404_ can't pretend that everytime I come over I don't see your computer and the files you work on and think… https://t.co/NqhYfIrrfY,113,92,8897,0,0,1,1,22
@SEC_News Please fix the Ripple lawsuit. This has been hurting people not protecting them. #RelistXRP,165,27,540,0,0,0,1,15
@GovRicketts This might collectively be the most ignorant group of comments I’ve ever seen. I seen one on here abou… https://t.co/W3USsGNY3U,55,4,8,0,0,0,1,21
"@fartfac72876467 @LucasAOlson @AnimeBibleVerse expression is literally just expression, i do what i want to express… https://t.co/oxobbTBdab",144,78,3127,0,0,0,0,16
Im sorry for hurting you while im in pain and im sorry for letting you go,674,265,6675,0,0,0,4,16
@Markiebekss @theninaellaine Ain't Business being shut down and people not earning anything by not being able to wo… https://t.co/K6MBn3FvHt,23,20,4468,0,0,0,0,19
@SaraCarpi1 yeah i am 100/100worried .. cz its fully based on very different sensitive topics.. as naci is cmng bac… https://t.co/T21GoQDJep,310,281,40544,0,0,1,0,21
We might not think we’re hurting anyone when we bend the Covid rules but our actions can have far-reaching conseque… https://t.co/UIlq5DKBkt,421,19088,20313,0,1,0,1,21
@PadreFanDan Socially distanced. My second dose isn’t til Monday. WHICH JUST REMINDS ME AS IM TYPING I shouldn’t go… https://t.co/O8vp45Cj1f,763,1750,46743,0,0,0,0,20
@Caldroids Imagine not just consuming the media you like in a normal way that doesn’t involve harassing or hurting… https://t.co/nXkvZMVBW9,431,167,9788,0,1,1,0,20
@worrierprincess @StarGmom Michael can probably and most likely care less. Prime example of how the woke HR people… https://t.co/Odu2jnLUiM,4116,3002,12825,0,0,0,0,19
"@daveforbmore Like, I’m down with financially hurting rich people. 😂 let’s do *that*",441,486,50756,0,0,1,1,13
SORRY FOR HURTING YOU😭 I WANT YOU BACK BUT I CAN'T💔,35,5,24,0,0,0,0,11
@ArevaMartin Hurting. I lost interest.,636,165,4152,0,0,0,1,5
I wish I could tell my younger self don’t worry baby you’ll find your peace it will exist stop hurting yourself bec… https://t.co/hAlYAy3F6g,4887,1309,15531,0,1,1,2,23
@JEN1OR Why is it hurting ?? Cant you tell ur parents or smth?,369,298,5483,0,0,0,1,13
"Why take an online journalism 101 class, and add a Civics.. because people’s ignorance is hurting our country on ev… https://t.co/kVtN38Eq2C",461,124,16962,0,0,0,2,21
"@HermanTheMoth You did such an amazing job setting the mood and tone of this, the colors made me feel cozy and safe… https://t.co/AYvLuj9H08",3094,612,117799,0,0,2,0,23
@NottCedd Cause she sure do be hurting my feelings,700,1263,27257,0,1,0,1,9
god I havent seen sun light in so long cause I have my window blinds down all the time and haven't left my house in… https://t.co/L8PlGOexBj,724,1536,12747,0,3,0,0,26
just had a girl who graduated from my sorority slide up on my story to tell me that posting about police brutality… https://t.co/qaG1Uab59M,520,411,4122,0,0,0,0,23
i’m allowed to have favorites and i made a tweet saying i don’t need to be attacked over an opinion that isn’t hurt… https://t.co/2ljdQ3RmXP,81,44072,8388,1,15,0,0,24
My stomach already hurting https://t.co/hY7oV76GpC,1160,1175,39466,0,0,0,1,5
Losing your fav lipgloss is a hurting feeling especially when you don’t remember what store you got it from,480,694,27410,0,0,1,1,19
"Broke, paid, hurting, or happy we forever ♾ locked 🔒 in 🤞🏽 https://t.co/7hdyZXkPXh",85,192,10793,0,0,1,1,13
@jbraziii @mpendleton @RiceTwist @ToothTakei @JaimeBoBaime You are hurting me with your words. I think you knew this.,461,1000,5881,0,3,0,1,17
Overall This past Sunday was a horrific day for many people. So many unnecessary deaths. My heart is hurting for an… https://t.co/vzXJSLLqJ2,126,273,2414,0,0,0,3,22
it’s honestly fucked up and hurting my feelings that 200+ppl viewed this and only 15 ppl liked it but i’m leaving i… https://t.co/dwoUmSsMjt,835,1520,94177,0,5,1,1,23
"Interesting that both of the Marvel Disney+ shows so far feature a superhero with issues (Wanda's grief, Walker's i… https://t.co/8OlKzhfclB",5004,1181,23200,0,2,0,2,20
@kween_anime AKSKALAL I thought it was just fatigue or dehydration but I’ve been doing nothing but sleeping and dri… https://t.co/ZshNhU4Pyz,999,11132,33616,0,1,0,1,20
@MichaelBerrySho I’m sorry she is hurting but if she did cut her arm off.. amongst other things it would be a waste of very nice tattoos ❤️,39,13,794,0,0,1,3,27
-so I was stressed tf out and when he eventually caught up to me he convinced this random lanky guy that he wasn't… https://t.co/fWD6o8VWYa,94,39,481,0,0,0,1,24
It’s all fun and games till them arms hurting from you having them above your head for too long 😂 https://t.co/moSef4rxPl,445,491,3365,0,0,1,1,21
"Narcissist never recover from losing an Empath . Empaths ARE the narcissist karma because in hurting us , they played themselves . . .",2169,1795,42600,0,1,1,2,24
including the officers could be saved.And that number includes not only black lives but also white lives. Perhaps i… https://t.co/jR7y8BTTHQ,1373,376,1831,0,0,0,0,20
"""...except the majority of the spending has nothing to do with repairing roads or helping families, and many of tax… https://t.co/TtUrnXaWL7",3401,8711,6585,1,1,1,0,21
@brndndnn @JohnMacin2 @agile_eyes_ @LeviLeakes @_Tonnnyy @Complex this is just one example; keeping black and brown… https://t.co/APzsuoExD9,119,48,4296,0,0,0,0,16
STOP HURTING ME https://t.co/DZQ1JDuYBF,1542,1666,24043,0,2,0,0,4
its hurting my head,514,571,23051,0,1,0,1,4
Asked my self why I couldn’t get over something faster than usual. But sometimes hurting is harder than before. But… https://t.co/10SZwbLpPI,2363,3887,48798,0,0,1,1,21
@sunshinebside Why why why why. U are only hurting yourself👉😔👈,294,174,11909,0,0,0,1,10
12-year-old shot. More than 300 New Yorkers shot since the year began. Politicians? Too busy hurting cops. Too busy… https://t.co/ZGBk2LHTDr,417,249,115437,0,0,0,1,20
@RadioDawson Too bad that thoose making up excuses why they can't wear a mask are hurting the people who have real… https://t.co/RqiB86LQIX,122,42,364,0,1,0,3,22
My legs are hurting right noe. Jogging 18kms is not a joke https://t.co/MW6arkpdNY,697,692,6154,0,0,1,2,13
"As a new immigrant in Denmark I find this shameful, immoral and... completely unnecessary. It won’t accomplish much… https://t.co/PFWE69nBrx",766,1984,21244,0,0,1,3,19
@__lemmanuel__ So the cast in the movie doesn’t have to be all white im a HUGE believer that Rahul Kohli would make… https://t.co/n1TSEGEord,293,749,22247,0,0,0,0,23
"My attitude changed after I was forced to do a 24+ hours neonate call while COVID +. I couldn’t breathe, I couldn’t… https://t.co/7cnB7yxmyc",269,3576,7035,0,0,0,0,23
Just don’t get why some people get to walk free after hurting me like wtf? Let me stab you real quick,409,230,17785,0,0,2,2,21
why does tiktok keep showing me videos of dogs hurting themselves :(,1650,3842,56847,0,0,0,1,12
My family hurting 😓,370,976,22194,0,0,0,1,4
was there something i could've said to make it all stop hurting ?,770,810,12620,0,0,0,1,13
"#California is hurting in so many ways and this guy is on a constant campaign trail 

Be cautious essential workers https://t.co/sssjdYo1Q2",759,795,34972,0,0,0,1,21
my ear hurting and it’s making my head hurt so bad 😕,526,1149,2226,0,0,0,3,12
"The sexual identity and preferences of another person are no one's business but their own, and so long as that pers… https://t.co/8PPyaTs5oe",356,377,20341,0,0,0,0,22
@ashley39162945 girl stop hurting yourself,310,310,1509,0,0,0,1,5
"“Privilege is not knowing that you're hurting others and not listening when they tell you.”
― DaShanne Stokes",412,100,3284,0,0,0,1,17
@SsbTyphoon reported for hurting my feelings 😔😭😔😭😔😭 https://t.co/wq5A4lNZoh,100,76,1076,0,0,0,1,8
"a nigga will never get the chance to have my chest hurting like that again , strictly eye candy for me 😩.",154,146,1786,0,0,1,2,22
"@eflorian10 @jaketapper Canada is hurting... 2% fully vaccinated.

Trudeau failed....",834,56,9483,0,0,0,2,9
@sunshinebside Why are u hurting yourself like that,294,174,11909,0,0,1,1,8
"Beautifully put. These 10 Months Without SSR have been a roller coaster of emotions. 

Will it stop hurting once we… https://t.co/jWIKkkestB",235,128,1649,1,1,0,1,21
i think my penis has an internal infection because it's been hurting on the inside for 2 days now @BebeZeva,1,1,706,0,0,0,2,20
@prasannalara Manish's innings is hurting them as well..,344,5,497,0,0,1,1,8
"What is your #communicationstyle at work?
Is it hurting your chances of success in your #career?

Find out with thi… https://t.co/y6wwsQ5nNm",56,15,925,0,0,2,1,19
@FunesNatalieee Who hurting u?,153,120,76,0,0,0,1,4
The story makes absolutely no sense. The timeline kept changing every time I asked her what happened. I’ve been cal… https://t.co/UgAHzPlT1N,857,17019,19543,2,7,0,0,21
"my TL’s are so sad today 😔 I hate it. hate seeing my people hurting. you were truly loved lil red, rest easy. ❤️",1374,1476,37050,0,2,2,4,24
"@jhopediaries I feel pretty good, my arm is barely even hurting and I even worked out even tho they told me not to… https://t.co/OGV0HeZ4GX",457,354,21958,0,0,3,1,24
I would appreciate the letter of the Secretary to the Cabinet in a normal situation. We all know that there's nothi… https://t.co/KHzbgVz0he,1853,1366,19933,0,1,1,0,22
My back really should not be hurting as bad as it does right now,255,1150,20568,0,0,1,2,14
"@kiwionthesticks I understand pitying them tho, like I want you to heal from your shit sir even if it’s only for you to stop hurting others.",501,425,70297,0,0,2,2,26
@RTEK777 Thanks. I’m so tired of hurting,4766,5198,54972,0,0,0,2,7
If astrology is not real then explain 8 year old Sagittarius me writing a letter to my 38 year old Cancer mom after… https://t.co/CTGEAtHtBW,833,1229,13758,0,5,0,0,24
"@cleantechnica “There’s no shortage of bad takes on Twitter, and sometimes I’m the one making them. What I want to… https://t.co/Yfvll04PGf",318,10612,5273,1,1,0,2,21
"@MikeLBullard @ChrisCuomo You're only hurting yourself, by letting Trump and his other manical supporters treat you… https://t.co/48orHuVsFs",61,25,6813,0,0,0,1,17
my back was hurting so bad last night i shed a tear 😫,263,305,6174,0,0,0,2,13
"@TheLawyerbot I mean 
The only one who keep enforcing their copyright is nintendo despite it really not hurting them in the long run",207,57,5122,0,1,0,1,23
"I don't wanna talk about things we've gone through, though its hurting me, it's now history",1540,1042,3553,0,1,0,1,16
I’m literally mourning a death and hurting inside and this girl gon say “we can hang if you wanna feed me” LMAO som… https://t.co/WRuUZbrO6K,519,845,59813,0,0,0,3,24
My throat was hurting so bad when I woke up... I’m better now,1989,2333,70934,0,0,1,2,13
"@tonyfromlg Aww I'm so sorry for hurting your feelings, casual.",92,5,117,0,0,0,2,10
@MimiAura1 Hurting him now will be good for both of you,236,18,462,0,1,1,0,11
im beyond mad and hurting. mom atleast let me cry for them-,352,345,3959,0,0,0,3,12
@JoanneBlough @atala9ta @StrictlyChristo @PoliticalBee How quickly you went from property damage to hurting people. Which one is it?,132,112,6733,0,0,0,2,18
stomach hurting like a mf,103,80,3310,0,0,1,1,5
its been hurting for weeks for like no reason i dont get it,104,294,7733,0,0,1,1,13
I hate that to keep your arm from hurting youre supposed to move it but it hurts so much when I move it that I don’t want to move it,107,75,1610,0,0,0,3,30
"When was the last time you sat &amp; observed your own thoughts? Observed what you been feeling &amp; going through,you are… https://t.co/xLvVRLqMaS",296,374,4193,0,0,0,0,22
My head really hurting,2464,2905,124204,0,0,0,1,4
@Austen agreed but i don't think this is hurting anyone ¯\_(ツ)_/¯,500,340,4290,0,0,0,1,11
"@Nunya_Bizzzzz Trial by peers, that would do some hurting. Standing in front of the unit having to wear the badge of racist would destroy",1512,647,18461,0,0,0,3,24
"@Kaelysta He's such a sweet person. I remember how much he was hurting at a couple of cons, and he still put forth… https://t.co/9fXF0qBRou",502,2767,403289,0,1,1,2,24
@DEVOUTMATRlARCH —about how horrible he will feel to know something happened to you or the kids. And that it was be… https://t.co/4egGKKEqTs,301,2041,69021,0,0,0,1,22
@danjlevy @colton No he didn’t.  This man was an abuser of women and needs to be held accountable.  This is gross.… https://t.co/KcFCpoJIdu,82,24,1228,0,0,0,0,24
Upcoming revisions of the #energy #taxation directive and of the #EUETS are critical to give the right incentives t… https://t.co/yoAwWcg2Zm,1290,487,1308,0,0,1,1,20
"Professional haters, give us an outlay on your irl? Tell us what's hurting you",844,848,4612,0,3,0,2,14
"@Jaguar_Potato_ EXACTLY!

FUCKING CLOWNS!

YEAH WE ARE HURTING THE INDUSTRY AND NOT THE GAME COMPANIES WITH THEIR SHITTY PRACTICES!",1953,345,50976,0,1,0,0,17
"Why don't you file an FIR sir, for hurting religious sentiments https://t.co/t6fxU18fjp",451,72,7079,0,0,0,1,12
"Dreamhack on Friday and my wrist is hurting really much, worth taking a break today?🙁",482,2246,7015,0,1,1,2,15
"-Homosexuality is a sin (1 Cor. 6:9-10)
-Transgenderism is a sin (Genesis 5:2, Genesis 1:27)
- women shouldn't be p… https://t.co/oifSGk0vJI",110,13,326,0,0,0,2,19
I knew this lockdown was coming but my heart hurting man 😭😩,292,240,9969,0,0,0,1,12
his ex-wife literally had a restraining order against him because he was stalking and harassing her. he tracked her… https://t.co/1vQDAmyzyn,276,186,2907,0,0,0,0,20
"@alexi_miika As do I, which is why I am so upset to find I may have been unknowingly hurting people. 😩😢",4116,3886,16561,0,0,0,2,21
"Damn, my arm is actually hurting pretty bad today lol. At least I don't have any other side effects",194,66,1295,0,1,1,2,19
"@DemonicEclipse Oh I understand and realise lol, just a cross between not really giving a shit &amp; also to do with li… https://t.co/Ze1eg8f658",371,402,2256,0,0,0,1,23
Niggas acting like the Saints were the first team to give bonuses for hurting other players. The 49ers did it years… https://t.co/grGtD7MOXh,127,126,1084,0,1,2,1,22
@atrupar I know it's whataboutism but I wish someone would ask these goobers why our tax $ went to bail out churche… https://t.co/WuW7EGKRLD,5105,5065,75239,3,6,0,0,23
"6. slow hands

""we rejoice cuz the hurting is so painless from the distance of passing cars"" he's in love with a du… https://t.co/ykrxBjlW6A",392,424,35797,0,0,3,2,23
@Tom_Maguire @ChrisCuomo 1. Works.  And Cuomo brags about being a lawyer. These statutes aren’t complicated. It’s n… https://t.co/QhXeWTIxyG,365,134,14372,0,1,0,1,19
"He felt kinda bad but it was either this or hurting her.

So this is what would have to happen. https://t.co/nfE8GbeSr4",97,102,1325,0,0,0,2,20
I thought only old people had back problems my shit be hurting like a mf😭,195,178,431,0,0,1,3,15
stop hurting me https://t.co/WcrEsFpLK1,1337,1741,220495,0,1,0,1,4
"Man, I really wish people would stop hurting each other and committing crimes. If only someone would get my attenti… https://t.co/4v1ptJpODz",173,2917,14896,0,6,0,1,21
I keep telling y’all the same thing. Nobody listens to me cause they think I’m joking or just don’t care BUT GET IN… https://t.co/osq5EaPxcb,447,309,8796,3,7,0,0,24
"Naye @SheilahGashumba now all those tattoos for what?
Mbu we say you are very happy and not hurting? https://t.co/1bBZx6u2vh",666,29446,28193,0,2,1,1,18
I also hope Cassie feels supported - as I’m sure this may have brought up traumatic experiences from their relation… https://t.co/E41cj5b5zB,589,503,18440,0,1,1,1,21
@sladesr I’m not sure the right solution is but their should be consequences for intentionally hurting American cit… https://t.co/F44Rmsj4s5,2425,450,9218,0,0,1,1,19
"@RepBrianMast Okay Brian, there you go again spouting out ""facts"" without substantiation regarding how Trump's acti… https://t.co/atDRd8vD3e",3,2,73,0,0,0,0,17
"I fucking hate you, i want you to hate me and leave me so i dont have to do it myself. I want you to know how much… https://t.co/LdZtbLe21t",231,212,4703,0,2,0,3,29
nigga said hurts the industry like the industry cares about hurting our pockets LMAO https://t.co/XCdFrtcqBc,306,320,411,0,0,1,2,15
"&gt;Pwease you are hurting the billion dollar companies' feewings, staph!1! D:

&gt; XD https://t.co/6YYsUzlt51",632,182,8568,0,1,0,1,13
"“We have something to discuss”, now my stomach is hurting 🥴.",636,1096,94190,0,0,0,1,11
Resigned from Faithful was a good run. love everyone there but it's just hurting me.,99,287,1151,0,0,2,1,15
@whatsername1114 thanks for hurting my feelings.,1677,1530,54173,0,1,0,1,6
@ohh_pleaseee People think same after hurting me... mostly they confess.....,582,81,2716,0,0,0,2,10
"And if you’re hurting, love yourself with my heart.",640,1899,34412,0,0,1,1,9
@OneBillsLive @MSGNetworks @WGR550 @ChrisBrownBills @SteveTasker89 Go best player available. I don't think we are h… https://t.co/zCLGvNMg4H,71,3,512,0,0,2,0,16
"@TravisS46774542 @MikeChandlerMMA @Benaskren Do you confuse your left and rights? He finished him with his left, he… https://t.co/gP1l9Yjh3b",83,55,388,0,0,0,1,18
Why the hell is @vijayshankar260 n @im_manishpandey in the @SunRisers team do they bend for the owners ? Drop them… https://t.co/Ig3wx0X1Ss,41,651,14199,0,0,0,1,21
@ChiefWood693 Man I’m over here hurting 🤣🤣🤣,705,791,7920,0,0,0,1,7
